Title;Artist;Language;genre;Period
Feel;Robbie Williams;English;Girly;2000'
Feeling Good;Nina Simone;English;Jazz;1950 and before'
Felicita;Albano e romina power;Italien-Corse;Variete;1980'
Flowers;Miley Cirus;English;Girly;2010 and after'
fortunatu;Toni Toga;French;Variete;trad
Fragile;Sting;English;Pop;1980'
Fuir le bonheur;Jane Birkin;French;Variete;1980'
Girl Crush;Little Big Town;English;Variete;2010 and after'
Give a Little Bit;Supertramp;English;Variete;1970'
Glory box;Portishead;English;Variete;1990'
Goffa lolita;La petite culotte;Italien-Corse;Variete;2010 and after'
Goodnight moon;Shivaree;English;Variete;1970'
Guitar Man;Bread;English;Variete;1970'
Hallelujah;Jeff Buckley;English;Variete;1990'
Happy Xmas (War Is Over);John Lennon;English;Variete;1960 Beatles Rolling stones'
Harley davidson;Serge Gainsbourg;French;Variete;1960'
Have you ever seen the Rain;Creedence Clearwater Revival;English;Variete;1970'
Hello;Lionel Richie;English;Pop;1980'
Here Comes the Sun;George Harrison - The Beatles;English;Variete;1960 Beatles Rolling stones'
Here There And Everywhere;The Beatles;English;variete;1960 Beatles Rolling stones'
Hit me with your best shot;Pat Benatar;English;Variete;1980'
Homme sweet homme;Zazie;French;Variete;1990'
Horizons;Genesis;English;Variete;1970'
Hotel California;Eagles;English;Variete;1970'
House Of The Rising Sun;Animals;English;Variete;1960'
How can you mend a broken heart;Al Green;English;Variete;1970'
How Deep Is Your Love;Bee Gees;English;Variete;1970'
How insensitive;Carlos Jobim;English;Bossa;1960'
Hurt;Johnny Cash;English;Variete;1990'
I Dont Want To Miss A Thing;Aerosmith;English;Rock;1990'
I Dont Want to Talk About It;Rod Stewart;English;Variete;1970'
I get along without you;Chet Baker;English;Variete;1950 and before'
I go to sleep;Pretenders;English;Pop;1980'
I Got You Babe;Ub40;English;Variete;1960'
I Heard It Trough The Grapevine;Creedence Clearwater Revival;English;Variete;1960'
I kissed a girl;Katy Perry;English;Variete;2000'
I love rock and roll;Joan Jett;English;Rock;1970'
I saw her standing there;The Beatles;English;Variete;1960 Beatles Rolling stones'
I say A Little Prayer;Aretha Franklin;English;Variete;1960'
I talk to the wind;King Crimson;English;Variete;1960'
I walk the line;Johnny Cash;English;Variete;1950 and before'
I will survive;Cake;English;Variete;1990'
I Will Survive;Gloria Gaynor;English;Variete;1990'
I'd rather go blind;Etta James;English;Jazz;1960'
I'm a fool to want you;Billie holiday;English;Variete;1950 and before'
If I ain't got you;Alicia Keys;English;Variete;2000'
Il me dit que je suis belle;Patricia Kaas;French;wedding;1990'
Il n'y a pas d'amour heureux;Georges Brassens;French;Variete;1950 and before'
Il Ragazzo Della Via Gluck;Adriano Celentano;Italien-Corse;variete;1960'
Il suffirait de presque rien;Serge Reggiani;French;Variete;1960'
Ill be seeing you;Billie Holiday;English;Variete;1950 and before'
Ill Stand By You;Pretenders;English;Pop;1990'
Im not in love;10cc;English;Pop;1970'
India song;Jeanne Moreau;French;Variete;1970'
Island in the Sun;Weezer;English;Variete;2000'
Isn't she lovely;Stevie Wonder;English;wedding;1970'
isolation;Beck-deep lennon;English;Variete;2000'
It's Too Late;Carole King;English;Variete;1970'
J'ai rendez vous avec vous;Georges Brassens;French;variete;1950 and before'
Jane B;Jane Birkin;French;Variete;1960'
Jardin D'hiver;Henry Salvador-Benjamin Biolay;French;Bossa;2000'
Je Crois Entendre Encore;David Gilmour/ Bizet;French;Variete;trad
je me sens pas belle;Marc Lavoine;French;Variete;1980'
Je me suis fait tout petit;Georges Brassens;French;Variete;1950 and before'
Je n'veux pas rester sage;Dolly;French;Variete;1990'
Je ne peux plus dire je taime;Higelin;French;Variete;1970'
Je reviens te chercher;Gilbert Becaud;French;Variete;1960'
Je t'aimais je t'aime je t'aimerai;Francis Cabrel;French;variete;1990'
Je t'emmène Au Vent;Louise attaque;French;Variete;1990'
Je veux;Zaz;French;Variete;2010 and after'
Jealous guy;John Lennon;English;Variete;1960 Beatles Rolling stones'
Kids in america;Kim Wilde;English;Pop;1980'
Killing in the name of;Rage against the machine;English;Rock;1990'
Killing me softly;Roberta Flack;English;Variete;1970'
Kiss Me;Sixpence None the Richer;English;Variete;1990'
L.O.V.E;Nat king cole;English;Jazz;1950 and before'
l'aigle noir;Barbara;French;Variete;1970'
L'amitie;Francoise Hardy;French;Variete;1960'
l'amour a la plage;Niagara;French;Variete;1980'
L’ange et le salaud;Higelin;French;Variete;1970'
L'autre finistere;Les Innocents;French;Variete;1990'
L'eau de la claire fontaine;Georges Brassens;French;Variete;1960'
L'italiano;Toto Cutugno;Italien-Corse;Variete;1980'
La Boheme;Charles Aznavour;French;Variete;1960'
La Declaration Damour;France Gall;French;Variete;1970'
La fille du pere noel;Jacques Dutronc;French;Variete;1960'
la gadoue;Serge Gainsbourg;French;Variete;1960'
la grenade;Clara Luciani;French;Variete;2010 and after'
La javanaise;Serge Gainsbourg;French;Variete;1960'
La maison ou j'ai grandi;Françoise Hardy;French;variete;1960'
La montagne;Jean Ferrat;French;Variete;1960'
La rousse au chocolat;Jacques Higelin;French;Variete;1970'
La Rua Madureira;Nino Ferrer;French;Bossa;1960'
Laisse Tomber Les Filles;France Gall;French;Variete;1960'
Laissez moi danser;Dalida;French;Variete;1970'
Lamour de ma vie;Billie Eilish;English;Girly;2010 and after'
Last kiss;Pearl Jam;English;Variete;1990'
Le Bal de Laze;Polnareff;French;Variete;1960'
Le ciel le soleil et la mer;Francois Deguelt;French;Variete;1960'
Le coup de soleil;Richard Cocciante;French;Variete;1970'
Le dernier jour du disco;Juliette Armanet;French;Variete;2010 and after'
Le monde est stone;Fabienne Thibault;French;Variete;1970'
Le petit bonheur;Felix Leclerc;French;Variete;1950 and before'
Le prisonnier;Antoine Ciosi;Italien-Corse;Variete;trad
Le Sud;Nino Ferrer;French;Variete;1970'
Le temps est bon;Bon Entendeur;French;Variete;2010 and after'
Les amants d'un jour;Edith Piaf;French;Variete;1950 and before'
Les Champs elysees;Joe Dassin;French;Variete;1960'
Les Copains d'abord;Georges Brassens;French;Variete;1960'
Les microsillons;alain Chamfort;French;Variete;2010 and after'
Les mots bleus;Christophe;French;Variete;1970'
Les mots simples;Vanessa Paradis;French;Variete;2010 and after'
Les paradis blancs;Michel Berger;French;Variete;1990'
Les paradis perdus;Christophe;French;Variete;1970'
Les vacances au bord de la mer;Michel Jonaz;English;Variete;1970'
Les yeux de la Mama;Kendji Girac;French;Variete;2010 and after'
Lettre a France;Michel Polnareff;French;Variete;1970'
Liberta;E cardeline;Italien-Corse;Variete;trad
Life on mars;David Bowie;English;Variete;1970'
Like Im Gonna Lose You;Meghan Trainor;English;Variete;2010 and after'
Lili;Phillippe Chatel;French;Variete;1970'
Lili (U turn);Aaron;English;Variete;2000'
Lonely Day;System Of A Down;English;Pop;1990'
Lost on You;LP;English;Pop;2010 and after'
Love Is a Losing Game;Amy Winehouse;English;Girly;2000'
Love Me Do;The Beatles;English;Variete;1960 Beatles Rolling stones'
Love on the brain;Rihanna;English;Girly;2010 and after'
Luka;Suzanne Vega;English;Variete;1980'
Ma benz;Brigitte;French;Variete;1990'
Ma fille;Serge Reggiani;French;Variete;1970'
Ma mome;Jean Ferrat;French;Engage;1960'
Ma preference;Julien Clerc;French;Variete;1970'
Ma reverence;Veronique Sanson;French;Variete;1970'
Mama, Im coming home;Ozzy Osbourne;English;rock;1990'
Mamma Mia;ABBA;English;Variete;1970'
Manha De Carnaval;Luiz Bonfa;French;Bossa;1950 and before'
Many Rivers to Cross;Jimmy Cliff;English;Variete;1960'
Me and Bobby McGee;Janis Joplin;English;Variete;1970'
Meravigliosa;Gianna Nannini;Italien-Corse;Variete;1990'
Message Personnel;Francoise Hardy;French;Variete;1970'
Mi Sono Innamorato Di Te;Luigi Tenco;Italien-Corse;wedding;1960'
Midnight blues;Gary Moore;English;Blues;1990'
Mind Games;John Lennon;English;Variete;1960 Beatles Rolling stones'
