Title,Artist,Language,genre,Period
Sweet Dreams,Eurythmics,English,Girly,1980'
More than words,Extreme,English,Variete,1990'
Le monde est stone,Fabienne Thibault,French,Variete,1970'
Mon pere etait tellement de gauche,Fatals picards,French,Variete,2000'
Le petit bonheur,Felix Leclerc,French,Variete,1950 and before'
Quand les hommes vivront d'amour,Felix Leclerc,French,Engage,1950 and before'
Dreams,Fleetwood Mac,English,Variete,1970'
Cezanne Peint,France Gall,French,Variete,1980'
Comment Lui Dire,France Gall,French,Variete,1970'
Evidemment,France Gall,French,Variete,1980'
La Declaration Damour,France Gall,French,Variete,1970'
Laisse Tomber Les Filles,France Gall,French,Variete,1960'
Monopolis,France Gall,French,Variete,1980'
Si maman si,France Gall,French,Variete,1970'
Repondez-moi,Francis Cabrel,French,Variete,1980'
Something stupid,Franck et Nancy Sinatra,English,Variete,1960'
Le ciel le soleil et la mer,Francois Deguelt,French,Variete,1960'
L'amitie,Francoise Hardy,French,Variete,1960'
Message Personnel,Francoise Hardy,French,Variete,1970'
Parlez-moi de lui,Francoise hardy,French,Variete,1960'
Partir quand meme,Francoise Hardy,French,Variete,1980'
Si vous n'avez rien a me dire,Francoise Hardy,French,Variete,2010 and after'
Tant de belles choses,Francoise Hardy,French,Variete,2000'
Puisque vous partez en voyage,Francoise Hardy - jean Sablon,French,Variete,1950 and before'
As the years go passing by,Gary Moore,English,Blues,1990'
Midnight blues,Gary Moore,English,Blues,1990'
Still got the blues,Gary Moore,English,Blues,1990'
That's why i play the blues,Gary Moore,English,Blues,2000'
Horizons,Genesis,English,Variete,1970'
Here Comes the Sun,George Harrison - The Beatles,English,Variete,1960 Beatles Rolling stones'
While My Guitar,George Harrisson,English,Variete,1960 Beatles Rolling stones'
Il n'y a pas d'amour heureux,Georges Brassens,French,Variete,1950 and before'
Je me suis fait tout petit,Georges Brassens,French,Variete,1950 and before'
L'eau de la claire fontaine,Georges Brassens,French,Variete,1960'
Les Copains d'abord,Georges Brassens,French,Variete,1960'
Summertime,Georges Gershwin,English,Variete,1950 and before'
You'll Never Walk Alone,Gerry and The Pacemakers,English,wedding,1960'
Sei nell'anima,Gianna Naninni,Italien-Corse,Variete,2000'
