Title,Artist,Language,Genre,Period
Tous les cris les SOS,Daniel Balavoine,French,"variété française, chanson, french house, french pop",1980'
Life on mars,David Bowie,English,"glam rock, art rock",1970'
rock n roll suicide,David Bowie,English,"glam rock, art rock",1970'
Space Oddity,David Bowie,English,"glam rock, art rock",1960'
Starman,David Bowie,English,"glam rock, art rock",1970'
Ziggy Stardust,David Bowie,English,"glam rock, art rock",1970'
Je Crois Entendre Encore,David Gilmour/ Bizet,French,chanson,trad
Tu ne m'as pas laisse le temps,David Hallyday,French,"variété française, chanson, french pop",1990'
White Flag,Dido,English,Unknown,2000'
Je n'veux pas rester sage,Dolly,French,french pop,1990'
Nel blu dipinto di blu (Volare),Domenico Modugno,Italien-Corse,"italian singer-songwriter, italo dance, canzone napoletana",1950 and before'
Liberta,E cardeline,Italien-Corse,Unknown,trad
Hotel California,Eagles,English,"classic rock, soft rock",1970'
Peaceful Easy Feeling,Eagles,English,"classic rock, soft rock",1970'
Santa baby,Eartha Kitt,English,christmas,1950 and before'
Couleur menthe a l'eau,Eddy Mitchell,French,"variété française, chanson, french pop, french house",1980'
Les amants d'un jour,Edith Piaf,French,"chanson, variété française, french jazz",1950 and before'
Misty,Ella Fitzgerald,English,"vocal jazz, jazz, swing music, jazz blues, big band, christmas",1950 and before'
Can't Help Falling in Love,Elvis Presley,English,"rockabilly, rock and roll",1960'
Cocaine,Eric Clapton,English,"blues, blues rock, classic rock",1970'
Wonderful tonight,Eric Clapton,English,"blues, blues rock, classic rock",1970'
Week-end a Rome,Etienne Daho,English,"variété française, french pop, chanson, french house",1980'
At Last,Etta James,English,"soul, jazz blues, soul blues, blues, vocal jazz",1960'
I'd rather go blind,Etta James,English,"soul, jazz blues, soul blues, blues, vocal jazz",1960'
Sunday kind of love,Etta James,English,"soul, jazz blues, soul blues, blues, vocal jazz",1960'
Sweet Dreams,Eurythmics,English,"new wave, synthpop",1980'
More than words,Extreme,English,glam metal,1990'
Le monde est stone,Fabienne Thibault,French,pop urbaine,1970'
Mon pere etait tellement de gauche,Fatals picards,French,"chanson, variété française, french house",2000'
Le petit bonheur,Felix Leclerc,French,chanson,1950 and before'
Quand les hommes vivront d'amour,Felix Leclerc,French,Unknown,1950 and before'
Dreams,Fleetwood Mac,English,"classic rock, soft rock",1970'
Cezanne Peint,France Gall,French,"variété française, chanson, french pop, french house",1980'
Comment Lui Dire,France Gall,French,"variété française, chanson, french pop, french house",1970'
Evidemment,France Gall,French,"variété française, chanson, french pop, french house",1980'
La Declaration Damour,France Gall,French,"variété française, chanson, french pop, french house",1970'
Laisse Tomber Les Filles,France Gall,French,french pop,1960'
Monopolis,France Gall,French,"variété française, chanson, french pop, french house",1980'
Si maman si,France Gall,French,"variété française, chanson, french pop, french house",1970'
Repondez-moi,Francis Cabrel,French,"variété française, chanson, french pop, french house",1980'
Something stupid,Franck et Nancy Sinatra,English,"french indie pop, french pop, french house",1960'
Le ciel le soleil et la mer,Francois Deguelt,French,"chanson, variété française",1960'
L'amitie,Francoise Hardy,French,"chanson, french pop, variété française, french jazz",1960'
Message Personnel,Francoise Hardy,French,"chanson, french pop, variété française, french jazz",1970'
Parlez-moi de lui,Francoise hardy,French,"chanson, french pop, variété française, french jazz",1960'
Partir quand meme,Francoise Hardy,French,"chanson, french pop, variété française, french jazz",1980'
Si vous n'avez rien a me dire,Francoise Hardy,French,"chanson, french pop, variété française, french jazz",2010 and after'
Tant de belles choses,Francoise Hardy,French,"chanson, french pop, variété française, french jazz",2000'
Puisque vous partez en voyage,Francoise Hardy - jean Sablon,French,"chanson, french pop, variété française, french jazz",1950 and before'
As the years go passing by,Gary Moore,English,"blues, blues rock",1990'
Midnight blues,Gary Moore,English,"blues, blues rock",1990'
Still got the blues,Gary Moore,English,"blues, blues rock",1990'
That's why i play the blues,Gary Moore,English,"blues, blues rock",2000'
Horizons,Genesis,English,"progressive rock, symphonic rock, art rock",1970'
Here Comes the Sun,George Harrison - The Beatles,English,Unknown,1960 Beatles Rolling stones'
While My Guitar,George Harrisson,English,"blues, blues rock, modern blues",1960 Beatles Rolling stones'
Il n'y a pas d'amour heureux,Georges Brassens,French,"chanson, variété française, french house",1950 and before'
Je me suis fait tout petit,Georges Brassens,French,"chanson, variété française, french house",1950 and before'
L'eau de la claire fontaine,Georges Brassens,French,"chanson, variété française, french house",1960'
Les Copains d'abord,Georges Brassens,French,"chanson, variété française, french house",1960'
Summertime,Georges Gershwin,English,ragtime,1950 and before'
You'll Never Walk Alone,Gerry and The Pacemakers,English,Unknown,1960'
Sei nell'anima,Gianna Naninni,Italien-Corse,"italo dance, italian singer-songwriter",2000'
Meravigliosa,Gianna Nannini,Italien-Corse,"italo dance, italian singer-songwriter",1990'
Je reviens te chercher,Gilbert Becaud,French,"chanson, variété française",1960'
I Will Survive,Gloria Gaynor,English,disco,1990'
21 Guns,Green Day,English,"punk, pop punk",2000'
Boulevard of Broken Dreams,Greenday,English,"punk, pop punk",2000'
Wake Me up When September Ends,Greenday,English,"punk, pop punk",2000'
Sweet child O mine,Gun N Roses,English,"rock, glam metal, hard rock, classic rock",1980'
Sign of the times,Harry Style,English,Unknown,2010 and after'
C'est Noel ma mie,Henri Salvador,French,"french jazz, chanson, variété française, french pop",1950 and before'
Dans mon ile,Henri Salvador,French,"french jazz, chanson, variété française, french pop",1950 and before'
Syracuse,Henry Salvador,French,"french jazz, chanson, variété française, french pop",1960'
Jardin D'hiver,Henry Salvador-Benjamin Biolay,French,"french pop, chanson, variété française, french jazz, french house",2000'
No Milk Today,Herman's Hermits,English,Unknown,1960'
