Title,Artist,Language,Genre,Period
Ti Amo,Umberto Tozzi,Italien-Corse,"italo dance, italian singer-songwriter",1970'
Parler damour,Ute Lemper&Art Mango,French,Unknown,1990'
Les mots simples,Vanessa Paradis,French,"variété française, chanson, french pop",2010 and after'
Venus in furs,Velvet underground,English,"proto-punk, art rock",1960'
Amoureuse,Veronique Sanson,French,"variété française, chanson, french pop, french house",1970'
Bahia,Veronique Sanson,French,"french indie pop, french house, french pop",1970'
Besoin de personne,Veronique Sanson,French,"variété française, chanson, french pop, french house",1970'
Chanson pour une drole de vie,Veronique Sanson,French,Unknown,1970'
Comme je l'imagine,Veronique Sanson,French,"variété française, chanson, french pop, french house",1970'
Ma reverence,Veronique Sanson,French,"variété française, chanson, french pop, french house",1970'
Quelques mots d'amour,Veronique Sanson,French,"variété française, chanson, french pop, french house",1980'
Une nuit sur son epaule,Veronique Sanson,French,"variété française, chanson, french pop, french house",1970'
Vancouver,Veronique Sanson,French,"variété française, chanson, french pop, french house",1970'
Island in the Sun,Weezer,English,alternative rock,2000'
Seven Nation Army,White Stripes,English,"garage rock, blues rock, rock, alternative rock",2000'
Bad boy,Yseult,French,Unknown,2010 and after'
Eblouie Par La Nuit,Zaz,French,"chanson, french pop, french jazz",2010 and after'
Je veux,Zaz,French,"chanson, french pop, french jazz",2010 and after'
Homme sweet homme,Zazie,French,"variété française, chanson, french pop, french house",1990'
