Étiquettes de lignes
alternative rock
Creep
Glory box
I will survive
Island in the Sun
Killing in the name of
Lonely Day
Night call
No surprises
Seven Nation Army
The Reason
Time Is Running Out
Weird Fishes
Where Is My Mind
blues
As the years go passing by
At Last
Cocaine
I'd rather go blind
Midnight blues
Still got the blues
Sunday kind of love
Tennessee whiskey
That's why i play the blues
Three O clock blues
While My Guitar
Wonderful tonight
bossa nova
How insensitive
La Rua Madureira
Manha Do Carnaval
Quiet Nights Of Quiet Stars
britpop
Be My Baby
Don't look back in anger
Protect Me From What I Want
Somewhere Only We Know-capo
Too many friends
Wonderwall
christmas
All I Want for Christmas Is You
Happy Xmas (War Is Over)
Santa baby
classic rock
A-Hard Day's Night
Across The Universe
All My Loving
All You Need Is Love
And I Love Her
Back in the USSR
Can't Buy Me Love
Come together
Don't Let Me Down
Drive My Car
Dust in the Wind
Eight days a week
Give a Little Bit
Have you ever seen the Rain
House Of The Rising Sun
I Heard It Trough The Grapevine
I saw her standing there
Love Me Do
Me and Bobby McGee
Nowhere Man
Oh! Darling
Please Please Me
Proud mary
Something
The Long and Winding Road
Twist And Shout
We Can Work It Out
country
Girl Crush
Hurt
Stand by Your Man
youre still the one
folk rock
A-horse with no name
California Dreaming
Diamonds And Rust
Dream a little dream of me
Father and Son
Sugar Man
The needle and the damage done
Wild World
glam rock
Im not in love
Life on mars
rock n roll suicide
Space Oddity
Starman
Walk on the Wild Side
Ziggy Stardust
grunge, rock
About A Girl
Come as You Are
Last kiss
Where did you sleep
hard rock
isolation
Sweet child O mine
jazz
All Of Me
Blue moon
C'est Noel ma mie
Cecile
Cry Me A River
Dans mon ile
Feeling Good
I get along without you
I'm a fool to want you
Ill be seeing you
India song
Jardin D'hiver
L-O-V-E
Misty
My Funny Valentine
Puisque vous partez en voyage
Smile
Stormy weather
Summertime
Syracuse
Tu verras
Un soir de pluie
What a wonderful world
pop
A-la folie
Ailleurs
All Of Me
Alter Ego
Always Remember Us This Way
Amoureuse
Babara Ann
Baby one more time
Bahia
Besoin de personne
Bien sur
Ces Idees la
Cezanne Peint
Chere amie
Comme je l'imagine
Comment est ta peine
Comment Lui Dire
Couleur menthe a l'eau
Desir Desir
Di doo dah
Easy on me
Eternal Flame
Everybody Hurts
Evidemment
Harley davidson
Homme sweet homme
I kissed a girl
Je n'veux pas rester sage
l'amour a la plage
L'autre finistere
La Declaration Damour
la gadoue
la grenade
La javanaise
Laisse Tomber Les Filles
Le Bal de Laze
Le dernier jour du disco
Le monde est stone
Le Sud
Les microsillons
Les mots bleus
Les mots simples
Les paradis perdus
Lettre a France
Lili (U turn)
Ma benz
Ma reverence
Monopolis
My song of you
Pendant que les champs brulent
Pull Marine
Quand la ville dort
Quelques mots d'amour
Repondez-moi
Respire
Roar
Rouge
Sensualite
Shallow
Si maman si
Si seulement je pouvais lui manquer
Surfin Usa
Sweet Dreams
Tu ne m'as pas laisse le temps
Un homme extraordinaire
Une nuit sur son epaule
Vancouver
Venus
Week-end a Rome
Wouldn't It Be Nice
progressive rock
Another Brick in the Wall Part 2
Brain damage
Breathe
Comfortably numb
Eclipse
Epitaph
Horizons
I talk to the wind
Nights in White Satin
The court of the crimson king
Time
Us And Them
Wish You Were Here
Wot's... uh the Deal
punk
21 Guns
All The Small Things
Because The Night
Boulevard of Broken Dreams
Dirty old town
Should I Stay or Should I Go
Venus in furs
Wake Me up When September Ends
Wild Thing
r&b
Fallin
Hello
How can you mend a broken heart
I say A Little Prayer
If I ain't got you
Isn't she lovely
Natural Woman
Please Mr. Postman
Sitting On The Dock Of The Bay
Stop in the Name of Love
reggae
I Got You Babe
Many Rivers to Cross
My Boy Lollipop
Redemption Song
Santeria
Three Little Birds
rock
A-Kind of Magic
As Tears Go By
Behind blue eyes
Can't Help Falling in Love
Cigarette
Country Honk
Crazy Little Thing Called Love
Cryin
Dream on
Dreams
Hit me with your best shot
Hotel California
I Dont Want To Miss A Thing
I love rock and roll
Lange et le salaud
No Particular place to go
Nothing compares 2 u
One
Paint It Black
Peaceful Easy Feeling
Pour oublier qu'on s'est aime
Pride (In the Name of Love)
Radio Ga ga
Stairway To Heaven
Still loving you
Sunday Bloody Sunday
That ll be the day
use-somebody
Wild Horses
Wind of change
With or without you
soft rock
Fragile
Guitar Man
I Dont Want to Talk About It
Sailing
Year of the Cat
traditional
Bella ciao
fortunatu
Je Crois Entendre Encore
Le prisonnier
Unknown
A-Whiter Shade of Pale
All about that bass
Altru mundu
Angels
Back to Black
Bad boy
Bang Bang
